@relation classifier_evaluation

@attribute name {BayesNet,NaiveBayes,NaiveBayesUpdateable,NaiveBayesMultinominalText,Logistic,MultilayerPerceptron,SimpleLogistic,SMO,IBk,KStar,LWL,AdaBoostM1,Bagging,ClassificationViaRegression,CVParameterSelection,FilteredClassifier,IterativeClassifierOptimizer,LogitBoost,MultiClassClassifier,MultiClassClassifierUpdateable,MultiScheme,RandomCommittee,RandomizableFilteredClassifier,RandomSubSpace,Stacking,Vote,DecisionTable,JRip,OneR,PART,ZeroR,DecisionStump,HoeffdingTree,J48,LMT,REPTree}
@attribute f-measure numeric
@attribute 'correctly classified' numeric

@data
BayesNet,?,0.7
NaiveBayes,?,0.95
NaiveBayesUpdateable,?,0.95
NaiveBayesMultinominalText,?,0.7
Logistic,?,0.9
MultilayerPerceptron,?,0.9
SimpleLogistic,?,0.8
SMO,?,0.8
IBk,?,0.9
KStar,0.604,0.95
LWL,?,0.95
AdaBoostM1,?,0.7
Bagging,?,0.75
ClassificationViaRegression,?,0.8
CVParameterSelection,?,0.7
FilteredClassifier,?,0.7
IterativeClassifierOptimizer,?,0.95
LogitBoost,?,0.95
MultiClassClassifier,0.434483,0.9
MultiClassClassifierUpdateable,?,0.9
MultiScheme,?,0.7
RandomCommittee,?,0.9
RandomizableFilteredClassifier,0.64709,0.95
RandomSubSpace,?,0.7
Stacking,?,0.7
J48,?,0.7
Vote,?,0.7
DecisionTable,?,0.7
JRip,?,0.85
OneR,?,0.7
PART,?,0.7
ZeroR,?,0.7
DecisionStump,?,0.7
HoeffdingTree,?,0.9
LMT,?,0.8
REPTree,?,0.7
