Question	 Annotator Answers	 Golden Answers	 tp	 fp	 fn	 pre	 rec	 f1
Are there any castles in the United States?	[false]	[true]	0	1	1	0.0	0.0	0.0
Can you find frescoes in Crete?	[true, false]	[true]	1	1	0	0.5	1.0	0.6666666666666666
Do Urdu and Persian have a common root?	[false]	[true]	0	1	1	0.0	0.0	0.0
Does the Ford Motor Company have a manufacturing plant in Malaysia?	[false]	[true]	0	1	1	0.0	0.0	0.0
How many years was the Ford Model T manufactured?	[0]	[19]	0	1	1	0.0	0.0	0.0
Give me all American presidents in the last 20 years.	[]	[Annotation [uri=[http://dbpedia.org/resource/Barack_Obama]], Annotation [uri=[http://dbpedia.org/resource/George_W._Bush]], Annotation [uri=[http://dbpedia.org/resource/Bill_Clinton]]]	0	0	3	0.0	0.0	0.0
Give me all gangsters from the prohibition era.	[]	[Annotation [uri=[http://dbpedia.org/resource/Gus_Winkler]], Annotation [uri=[http://dbpedia.org/resource/Joe_Masseria]], Annotation [uri=[http://dbpedia.org/resource/Mike_Genna]], Annotation [uri=[http://dbpedia.org/resource/James_Colosimo]], Annotation [uri=[http://dbpedia.org/resource/Louis_Buchalter]], Annotation [uri=[http://dbpedia.org/resource/Vito_Bonventre]], Annotation [uri=[http://dbpedia.org/resource/Ciro_Terranova]], Annotation [uri=[http://dbpedia.org/resource/Bugs_Moran]], Annotation [uri=[http://dbpedia.org/resource/Roger_Touhy]], Annotation [uri=[http://dbpedia.org/resource/Joe_Profaci]], Annotation [uri=[http://dbpedia.org/resource/Mickey_Duffy]], Annotation [uri=[http://dbpedia.org/resource/Al_Capone]], Annotation [uri=[http://dbpedia.org/resource/Lucky_Luciano]], Annotation [uri=[http://dbpedia.org/resource/Owney_Madden]], Annotation [uri=[http://dbpedia.org/resource/Abner_Zwillman]], Annotation [uri=[http://dbpedia.org/resource/Louis_Campagna]], Annotation [uri=[http://dbpedia.org/resource/Mad_Dog_Coll]], Annotation [uri=[http://dbpedia.org/resource/Salvatore_Maranzano]], Annotation [uri=[http://dbpedia.org/resource/Angelo_Bruno]], Annotation [uri=[http://dbpedia.org/resource/Frank_Costello]], Annotation [uri=[http://dbpedia.org/resource/Gaetano_Reina]], Annotation [uri=[http://dbpedia.org/resource/Dean_O'Banion]], Annotation [uri=[http://dbpedia.org/resource/Vito_Genovese]], Annotation [uri=[http://dbpedia.org/resource/Carlo_Gambino]], Annotation [uri=[http://dbpedia.org/resource/Bugsy_Siegel]], Annotation [uri=[http://dbpedia.org/resource/Fred_Burke]], Annotation [uri=[http://dbpedia.org/resource/Stefano_Magaddino]], Annotation [uri=[http://dbpedia.org/resource/Nicolo_Schiro]], Annotation [uri=[http://dbpedia.org/resource/Russell_Bufalino]], Annotation [uri=[http://dbpedia.org/resource/Ignazio_Lupo]]]	0	0	30	0.0	0.0	0.0
Give me all Seven Wonders of the Ancient World.	[]	[Annotation [uri=[http://dbpedia.org/resource/Lighthouse_of_Alexandria]], Annotation [uri=[http://dbpedia.org/resource/Hanging_Gardens_of_Babylon]], Annotation [uri=[http://dbpedia.org/resource/Mausoleum_at_Halicarnassus]], Annotation [uri=[http://dbpedia.org/resource/Colossus_of_Rhodes]], Annotation [uri=[http://dbpedia.org/resource/Statue_of_Zeus_at_Olympia]], Annotation [uri=[http://dbpedia.org/resource/Temple_of_Artemis]], Annotation [uri=[http://dbpedia.org/resource/Great_Pyramid_of_Giza]]]	0	0	7	0.0	0.0	0.0
Give me all chemical elements.	[]	[Annotation [uri=[http://dbpedia.org/resource/Germanium]], Annotation [uri=[http://dbpedia.org/resource/Americium]], Annotation [uri=[http://dbpedia.org/resource/Tungsten]], Annotation [uri=[http://dbpedia.org/resource/Scandium]], Annotation [uri=[http://dbpedia.org/resource/Rutherfordium]], Annotation [uri=[http://dbpedia.org/resource/Tellurium]], Annotation [uri=[http://dbpedia.org/resource/Tantalum]], Annotation [uri=[http://dbpedia.org/resource/Krypton]], Annotation [uri=[http://dbpedia.org/resource/Hydrogen]], Annotation [uri=[http://dbpedia.org/resource/Palladium]], Annotation [uri=[http://dbpedia.org/resource/Boron]], Annotation [uri=[http://dbpedia.org/resource/Iridium]], Annotation [uri=[http://dbpedia.org/resource/Actinium]], Annotation [uri=[http://dbpedia.org/resource/Ruthenium]], Annotation [uri=[http://dbpedia.org/resource/Erbium]], Annotation [uri=[http://dbpedia.org/resource/Radium]], Annotation [uri=[http://dbpedia.org/resource/Iron]], Annotation [uri=[http://dbpedia.org/resource/Magnesium]], Annotation [uri=[http://dbpedia.org/resource/Caesium]], Annotation [uri=[http://dbpedia.org/resource/Zirconium]], Annotation [uri=[http://dbpedia.org/resource/Tin]], Annotation [uri=[http://dbpedia.org/resource/Nobelium]], Annotation [uri=[http://dbpedia.org/resource/Europium]], Annotation [uri=[http://dbpedia.org/resource/Gallium]], Annotation [uri=[http://dbpedia.org/resource/Neon]], Annotation [uri=[http://dbpedia.org/resource/Potassium]], Annotation [uri=[http://dbpedia.org/resource/Einsteinium]], Annotation [uri=[http://dbpedia.org/resource/Mendelevium]], Annotation [uri=[http://dbpedia.org/resource/Nickel]], Annotation [uri=[http://dbpedia.org/resource/Bismuth]], Annotation [uri=[http://dbpedia.org/resource/Nitrogen]], Annotation [uri=[http://dbpedia.org/resource/Ununseptium]], Annotation [uri=[http://dbpedia.org/resource/Darmstadtium]], Annotation [uri=[http://dbpedia.org/resource/Chromium]], Annotation [uri=[http://dbpedia.org/resource/Ytterbium]], Annotation [uri=[http://dbpedia.org/resource/Thorium]], Annotation [uri=[http://dbpedia.org/resource/Vanadium]], Annotation [uri=[http://dbpedia.org/resource/Lanthanum]], Annotation [uri=[http://dbpedia.org/resource/Gadolinium]], Annotation [uri=[http://dbpedia.org/resource/Protactinium]], Annotation [uri=[http://dbpedia.org/resource/Oxygen]], Annotation [uri=[http://dbpedia.org/resource/Chemical_element]], Annotation [uri=[http://dbpedia.org/resource/Iodine]], Annotation [uri=[http://dbpedia.org/resource/Argon]], Annotation [uri=[http://dbpedia.org/resource/Arsenic]], Annotation [uri=[http://dbpedia.org/resource/Seaborgium]], Annotation [uri=[http://dbpedia.org/resource/Technetium]], Annotation [uri=[http://dbpedia.org/resource/Radon]], Annotation [uri=[http://dbpedia.org/resource/Lithium]], Annotation [uri=[http://dbpedia.org/resource/Dubnium]], Annotation [uri=[http://dbpedia.org/resource/Cobalt]], Annotation [uri=[http://dbpedia.org/resource/Neptunium]], Annotation [uri=[http://dbpedia.org/resource/Fluorine]], Annotation [uri=[http://dbpedia.org/resource/Sodium]], Annotation [uri=[http://dbpedia.org/resource/Molybdenum]], Annotation [uri=[http://dbpedia.org/resource/Lawrencium]], Annotation [uri=[http://dbpedia.org/resource/Thulium]], Annotation [uri=[http://dbpedia.org/resource/Uranium]], Annotation [uri=[http://dbpedia.org/resource/Californium]], Annotation [uri=[http://dbpedia.org/resource/Barium]], Annotation [uri=[http://dbpedia.org/resource/Cadmium]], Annotation [uri=[http://dbpedia.org/resource/Polonium]], Annotation [uri=[http://dbpedia.org/resource/Berkelium]], Annotation [uri=[http://dbpedia.org/resource/Platinum]], Annotation [uri=[http://dbpedia.org/resource/Fermium]], Annotation [uri=[http://dbpedia.org/resource/Zinc]], Annotation [uri=[http://dbpedia.org/resource/Beryllium]], Annotation [uri=[http://dbpedia.org/resource/Meitnerium]], Annotation [uri=[http://dbpedia.org/resource/Sulfur]], Annotation [uri=[http://dbpedia.org/resource/Helium]], Annotation [uri=[http://dbpedia.org/resource/Niobium]], Annotation [uri=[http://dbpedia.org/resource/Strontium]], Annotation [uri=[http://dbpedia.org/resource/Flerovium]], Annotation [uri=[http://dbpedia.org/resource/Terbium]], Annotation [uri=[http://dbpedia.org/resource/Mercury_(element)]], Annotation [uri=[http://dbpedia.org/resource/Curium]], Annotation [uri=[http://dbpedia.org/resource/Calcium]], Annotation [uri=[http://dbpedia.org/resource/Carbon]], Annotation [uri=[http://dbpedia.org/resource/Titanium]], Annotation [uri=[http://dbpedia.org/resource/Holmium]], Annotation [uri=[http://dbpedia.org/resource/Osmium]], Annotation [uri=[http://dbpedia.org/resource/Indium]], Annotation [uri=[http://dbpedia.org/resource/Roentgenium]], Annotation [uri=[http://dbpedia.org/resource/Plutonium]], Annotation [uri=[http://dbpedia.org/resource/Phosphorus]], Annotation [uri=[http://dbpedia.org/resource/Chlorine]], Annotation [uri=[http://dbpedia.org/resource/Silicon]], Annotation [uri=[http://dbpedia.org/resource/Symbol_(chemistry)]], Annotation [uri=[http://dbpedia.org/resource/Gold]], Annotation [uri=[http://dbpedia.org/resource/Hafnium]], Annotation [uri=[http://dbpedia.org/resource/Dysprosium]], Annotation [uri=[http://dbpedia.org/resource/Lead]], Annotation [uri=[http://dbpedia.org/resource/Bromine]], Annotation [uri=[http://dbpedia.org/resource/The_Mystery_of_Matter_(film)]], Annotation [uri=[http://dbpedia.org/resource/Manganese]], Annotation [uri=[http://dbpedia.org/resource/Ununtrium]], Annotation [uri=[http://dbpedia.org/resource/Ununpentium]], Annotation [uri=[http://dbpedia.org/resource/Yttrium]], Annotation [uri=[http://dbpedia.org/resource/Copper]], Annotation [uri=[http://dbpedia.org/resource/Thallium]], Annotation [uri=[http://dbpedia.org/resource/Rhodium]], Annotation [uri=[http://dbpedia.org/resource/Cerium]], Annotation [uri=[http://dbpedia.org/resource/Praseodymium]], Annotation [uri=[http://dbpedia.org/resource/Antimony]], Annotation [uri=[http://dbpedia.org/resource/Hassium]], Annotation [uri=[http://dbpedia.org/resource/Lutetium]], Annotation [uri=[http://dbpedia.org/resource/Xenon]], Annotation [uri=[http://dbpedia.org/resource/Copernicium]], Annotation [uri=[http://dbpedia.org/resource/Ununoctium]], Annotation [uri=[http://dbpedia.org/resource/Selenium]], Annotation [uri=[http://dbpedia.org/resource/Aluminium]], Annotation [uri=[http://dbpedia.org/resource/Silver]], Annotation [uri=[http://dbpedia.org/resource/Samarium]], Annotation [uri=[http://dbpedia.org/resource/Rubidium]], Annotation [uri=[http://dbpedia.org/resource/Neodymium]], Annotation [uri=[http://dbpedia.org/resource/Bohrium]], Annotation [uri=[http://dbpedia.org/resource/Rhenium]]]	0	0	117	0.0	0.0	0.0
How many rivers and lakes are in South Carolina?	[0]	[73]	0	1	1	0.0	0.0	0.0
